Datums;Rīga;Tallina;Viļņa
2026-04-10;1,854;1,749;1,739
2026-04-03;1,864;1,819;1,824
2026-03-27;1,814;1,829;1,719
2026-03-20;1,794;1,784;1,753
2026-03-13;1,714;1,739;1,687
2026-03-06;1,634;1,629;1,614
2026-02-27;1,554;1,474;1,584
2026-02-20;1,534;1,489;1,489
2026-02-13;1,534;1,489;1,564
2026-02-06;1,534;1,469;1,524
2026-01-30;1,534;1,449;1,484
2026-01-23;1,514;1,469;1,494
2026-01-16;1,514;1,494;1,524
2026-01-09;1,514;1,444;1,494
2026-01-02;1,534;1,429;1,464
2025-12-19;1,534;1,479;1,459
2025-12-12;1,554;1,519;1,504
2025-12-05;1,574;1,534;1,504
2025-11-28;1,594;1,534;1,484
2025-11-21;1,594;1,559;1,509
2025-11-14;1,574;1,529;1,489
2025-11-07;1,484;1,519;1,479
2025-10-31;1,464;1,499;1,459
2025-10-24;1,554;1,479;1,509
2025-10-17;1,554;1,479;1,449
2025-10-10;1,464;1,429;1,449
2025-10-03;1,554;1,394;1,459
2025-09-26;1,554;1,369;1,459
2025-09-19;1,494;1,399;1,519
2025-09-12;1,554;1,429;1,449
2025-09-05;1,554;1,439;1,409
2025-08-29;1,464;1,649;1,409
2025-08-22;1,464;1,649;1,429
2025-08-15;1,554;1,609;1,489
2025-08-08;1,494;1,634;1,409
2025-08-01;1,574;1,649;1,409
2025-07-25;1,594;1,624;1,419
2025-07-18;1,594;1,594;1,479
2025-07-11;1,594;1,609;1,449
2025-07-04;1,594;1,639;1,449
2025-06-27;1,604;1,569;1,489
2025-06-20;1,604;1,599;1,449
2025-06-13;1,544;1,584;1,449
2025-06-06;1,544;1,59;1,449
2025-05-30;1,464;1,589;1,469
2025-05-23;1,544;1,579;1,449
2025-05-16;1,464;1,579;1,449
2025-05-09;1,544;1,534;1,419
2025-05-02;1,554;1,569;1,529
2025-04-25;1,464;1,579;1,509
2025-04-17;1,514;1,564;1,509
2025-04-11;1,614;1,594;1,529
2025-04-04;1,554;1,639;1,549
2025-03-28;1,554;1,589;1,499
2025-03-21;1,594;1,55;1,499
2025-03-14;1,594;1,579;1,509
2025-03-07;1,634;1,614;1,559
2025-03-01;1,634;1,614;1,559
2025-02-28;1,654;1,679;1,559
2025-02-21;1,654;1,639;1,559
2025-02-14;1,574;1,669;1,569
2025-02-07;1,634;1,649;1,549
2025-01-31;1,654;1,669;1,519
2025-01-24;1,664;1,679;1,549
2025-01-17;1,654;1,679;1,559
2025-01-10;1,634;1,669;1,509
2025-01-03;1,634;1,659;1,549
2024-12-27;1,614;1,639;1,439
2024-12-20;1,614;1,649;1,489
2024-12-13;1,594;1,599;1,449
2024-12-06;1,594;1,639;1,409
2024-11-29;1,594;1,629;1,429
2024-11-22;1,554;1,639;1,419
2024-11-15;1,574;1,589;1,409
2024-11-08;1,514;1,599;1,409
2024-11-01;1,514;1,569;1,389
2024-10-25;1,554;1,62;1,419
2024-10-18;1,554;1,589;1,419
2024-10-11;1,544;1,599;1,419
2024-10-04;1,514;1,569;1,429
2024-09-27;1,417;1,579;1,429
2024-09-20;1,414;1,59;1,389
2024-09-13;1,554;1,579;1,409
2024-09-06;1,734;1,619;1,479
2024-08-30;1,684;1,669;1,489
2024-08-23;1,684;1,639;1,489
2024-08-16;1,684;1,719;1,469
2024-08-09;1,684;1,689;1,519
2024-08-02;1,684;1,729;1,509
2024-07-26;1,684;1,719;1,539
