Datums;Circle K;DUS Shell;KOOL;Latvijas Nafta;Neste;Virši-A
2026-04-21;1,734;;1,747;1,797;1,717;1,717
2026-04-20;1,784;;1,747;1,797;1,767;1,767
2026-04-17;1,784;;1,747;1,797;1,767;1,777
2026-04-16;1,804;;1,747;1,797;1,777;1,817
2026-04-15;1,804;;1,747;1,797;1,787;1,817
2026-04-14;1,814;;1,747;1,797;1,797;1,817
2026-04-13;1,844;;1,797;1,797;1,827;1,854
2026-04-10;1,854;;1,797;1,847;1,837;1,854
2026-04-09;1,854;;1,837;1,847;1,837;1,854
2026-04-08;1,854;;1,837;1,847;1,837;1,854
2026-04-07;1,864;;1,797;1,847;1,837;1,847
2026-04-02;1,864;;1,797;1,847;1,837;1,847
2026-04-01;1,864;;1,777;1,797;1,837;1,847
2026-03-31;1,764;;1,777;1,797;1,747;1,747
2026-03-30;1,814;;1,777;1,797;1,797;1,797
2026-03-27;1,814;;1,777;1,797;1,797;1,817
2026-03-26;1,814;;1,777;1,797;1,797;1,817
2026-03-25;1,814;;1,777;1,797;1,797;1,797
2026-03-24;1,814;;1,797;1,834;1,797;1,797
2026-03-23;1,854;;1,727;1,777;1,777;1,777
2026-03-20;1,744;;1,727;1,747;1,727;1,777
2026-03-19;1,744;;1,707;1,717;1,727;1,727
2026-03-18;1,724;;1,707;1,717;1,677;1,717
2026-03-17;1,694;;1,657;1,687;1,677;1,677
2026-03-16;1,674;;1,657;1,667;1,657;1,667
2026-03-13;1,654;;1,627;1,637;1,637;1,667
2026-03-12;1,684;;1,627;1,637;1,637;1,637
2026-03-11;1,654;;1,617;1,637;1,617;1,617
2026-03-10;1,634;;1,617;1,637;1,617;1,617
2026-03-09;1,634;;1,647;1,647;1,617;1,617
2026-03-06;1,634;;1,557;1,627;1,637;1,627
2026-03-05;1,614;;1,557;1,647;1,597;1,627
2026-03-04;1,594;;1,557;1,647;1,557;1,647
2026-03-03;1,574;;1,507;1,547;1,557;1,567
2026-03-02;1,554;;1,507;1,547;1,537;1,517
2026-02-27;1,524;;1,507;1,547;1,507;1,517
2026-02-26;1,527;;1,507;1,547;1,517;1,517
2026-02-25;1,534;;1,507;1,547;1,517;1,517
2026-02-24;1,534;;1,507;1,547;1,517;1,517
2026-02-23;1,504;;1,497;1,537;1,497;1,517
2026-02-20;1,504;;1,497;1,537;1,497;1,497
2026-02-19;1,504;;1,497;1,537;1,497;1,497
2026-02-18;1,504;;1,497;1,537;1,497;1,497
