Datums;Rīga;Tallina;Viļņa
2026-04-17;2,094;1,954;2,079
2026-04-10;2,144;2,089;2,169
2026-04-03;2,044;2,119;2,264
2026-03-27;2,134;2,119;2,114
2026-03-20;2,014;1,919;2,119
2026-03-13;1,964;1,859;1,994
2026-03-06;1,694;1,739;1,829
2026-02-27;1,554;1,389;1,734
2026-02-20;1,534;1,434;1,639
2026-02-13;1,534;1,464;1,699
2026-02-06;1,534;1,429;1,674
2026-01-30;1,534;1,429;1,687
2026-01-23;1,514;1,439;1,674
2026-01-16;1,494;1,374;1,624
2026-01-09;1,494;1,344;1,604
2026-01-02;1,514;1,324;1,544
2025-12-19;1,514;1,389;1,579
2025-12-12;1,534;1,429;1,584
2025-12-05;1,554;1,494;1,609
2025-11-28;1,574;1,494;1,649
2025-11-21;1,574;1,459;1,629
2025-11-14;1,554;1,459;1,589
2025-11-07;1,464;1,419;1,549
2025-10-31;1,464;1,379;1,519
2025-10-24;1,534;1,329;1,539
2025-10-17;1,534;1,379;1,469
2025-10-10;1,434;1,329;1,509
2025-10-03;1,534;1,264;1,529
2025-09-26;1,534;1,234;1,499
2025-09-19;1,464;1,254;1,559
2025-09-12;1,534;1,299;1,529
2025-09-05;1,524;1,319;1,469
2025-08-29;1,454;1,479;1,489
2025-08-22;1,464;1,479;1,509
2025-08-15;1,534;1,459;1,569
2025-08-08;1,464;1,484;1,499
2025-08-01;1,564;1,529;1,509
2025-07-25;1,574;1,524;1,499
2025-07-18;1,564;1,494;1,579
2025-07-11;1,564;1,499;1,549
2025-07-04;1,554;1,449;1,509
2025-06-27;1,554;1,459;1,549
2025-06-20;1,574;1,479;1,559
2025-06-13;1,474;1,424;1,469
2025-06-06;1,474;1,42;1,449
2025-05-30;1,414;1,409;1,479
2025-05-23;1,474;1,399;1,449
2025-05-16;1,414;1,389;1,449
2025-05-09;1,474;1,374;1,449
2025-05-02;1,494;1,409;1,529
2025-04-25;1,414;1,5;1,509
2025-04-17;1,414;1,414;1,509
2025-04-11;1,574;1,444;1,549
2025-04-04;1,554;1,489;1,579
2025-03-28;1,554;1,5;1,589
2025-03-21;1,534;1,5;1,609
2025-03-14;1,574;1,514;1,619
2025-03-07;1,614;1,514;1,679
2025-03-01;1,614;1,514;1,679
2025-02-28;1,624;1,579;1,669
2025-02-21;1,614;1,549;1,669
2025-02-14;1,559;1,569;1,669
2025-02-07;1,614;1,549;1,669
2025-01-31;1,634;1,569;1,639
2025-01-24;1,634;1,579;1,669
2025-01-17;1,634;1,609;1,699
2025-01-10;1,614;1,569;1,629
2025-01-03;1,594;1,569;1,659
2024-12-27;1,574;1,549;1,469
2024-12-20;1,574;1,559;1,519
2024-12-13;1,554;1,509;1,489
2024-12-06;1,554;1,549;1,449
2024-11-29;1,554;1,529;1,489
2024-11-22;1,514;1,539;1,479
2024-11-15;1,524;1,489;1,409
2024-11-08;1,514;1,5;1,379
2024-11-01;1,414;1,429;1,349
2024-10-25;1,534;1,5;1,389
2024-10-18;1,534;1,469;1,399
2024-10-11;1,514;1,479;1,409
