Datums;Circle K;DUS Shell;KOOL;Latvijas Nafta;Neste;Virši-A
2026-03-31;2,064;;1,997;2,077;2,047;2,047
2026-03-30;2,134;;1,997;1,997;2,117;2,117
2026-03-27;2,134;;1,997;1,997;2,117;2,167
2026-03-26;2,134;;2,097;2,127;2,117;2,167
2026-03-25;2,134;;2,097;2,127;2,117;2,117
2026-03-24;2,074;;2,067;2,097;2,057;2,057
2026-03-23;2,114;;1,957;1,977;1,997;1,997
2026-03-20;1,974;;1,957;1,977;1,957;2,017
2026-03-19;1,974;;1,957;1,967;1,957;1,967
2026-03-18;1,974;;1,957;1,967;1,927;1,967
2026-03-17;1,944;;1,897;1,937;1,927;1,927
2026-03-16;1,914;;1,897;1,907;1,897;1,927
2026-03-13;1,904;;1,877;1,887;1,887;1,917
2026-03-12;1,934;;1,877;1,887;1,887;1,887
2026-03-11;1,954;;1,857;1,887;1,857;1,867
2026-03-10;1,924;;1,827;1,847;1,797;1,797
2026-03-09;1,764;;1,787;1,787;1,747;1,807
2026-03-06;1,694;;1,557;1,687;1,747;1,677
2026-03-05;1,654;;1,557;1,647;1,617;1,647
2026-03-04;1,594;;1,557;1,647;1,557;1,647
2026-03-03;1,574;;1,507;1,557;1,557;1,567
2026-03-02;1,554;;1,507;1,547;1,537;1,517
2026-02-27;1,514;;1,507;1,527;1,497;1,517
2026-02-26;1,527;;1,507;1,527;1,517;1,517
2026-02-25;1,534;;1,507;1,527;1,517;1,517
2026-02-24;1,534;;1,507;1,527;1,517;1,517
2026-02-23;1,494;;1,487;1,517;1,497;1,517
2026-02-20;1,494;;1,487;1,517;1,497;1,497
2026-02-19;1,494;;1,487;1,517;1,497;1,497
2026-02-18;1,494;;1,487;1,517;1,497;1,497
2026-02-17;1,494;;1,487;1,517;1,497;1,477
2026-02-16;1,504;;1,487;1,517;1,497;1,477
2026-02-13;1,484;;1,487;1,517;1,477;1,477
2026-02-12;1,484;;1,447;1,497;1,467;1,477
2026-02-11;1,494;;1,447;1,497;1,477;1,477
2026-02-10;1,484;;1,447;1,497;1,477;1,477
2026-02-09;1,484;;1,447;1,497;1,477;1,477
2026-02-06;1,484;;1,447;1,497;1,477;1,477
2026-02-05;1,484;;1,447;1,497;1,467;1,477
2026-02-04;1,474;;1,447;1,497;1,467;1,477
2026-02-03;1,484;;1,447;1,487;1,467;1,477
2026-02-02;1,467;;1,447;1,487;1,457;1,477
2026-01-30;1,514;;1,447;1,477;1,457;1,457
2026-01-29;1,514;;1,427;1,477;1,437;1,457
2026-01-28;1,514;;1,427;1,477;1,437;1,457
2026-01-27;1,514;;1,427;1,477;1,437;1,457
2026-01-26;1,454;;1,427;1,477;1,437;1,447
2026-01-23;1,444;;1,427;1,457;1,447;1,447
2026-01-22;1,444;;1,397;1,457;1,427;1,447
2026-01-21;1,444;;1,397;1,467;1,427;1,427
2026-01-20;1,424;;1,397;1,467;1,427;1,417
2026-01-19;1,424;;1,397;1,467;1,407;1,417
2026-01-17;1,424;;1,397;1,467;1,407;1,437
2026-01-16;1,424;;1,397;1,467;1,407;1,437
2026-01-15;1,424;;1,397;1,467;1,407;1,417
2026-01-14;1,424;;1,397;1,467;1,407;1,417
2026-01-13;1,424;;1,397;1,467;1,417;1,417
2026-01-12;1,424;;1,397;1,467;1,417;1,417
2026-01-09;1,424;;1,397;1,467;1,407;1,417
2026-01-08;1,434;;1,397;1,467;1,407;1,417
2026-01-07;1,434;;1,397;1,467;1,417;1,417
2026-01-06;1,434;;1,397;1,467;1,427;1,467
2026-01-05;1,454;;1,397;1,467;1,427;1,467
2025-12-30;1,454;;1,397;1,487;1,427;1,447
2025-12-29;1,454;;1,397;1,487;1,437;1,447
2025-12-23;1,454;;1,397;1,487;1,447;1,447
2025-12-22;1,454;;1,397;1,487;1,447;1,497
2025-12-19;1,454;;1,427;1,477;1,397;1,497
2025-12-18;1,454;;1,427;1,477;1,447;1,467
2025-12-17;1,464;;1,427;1,477;1,457;1,467
2025-12-16;1,474;;1,437;1,487;1,467;1,467
2025-12-15;1,474;;1,437;1,497;1,467;1,514
2025-12-12;1,484;;1,437;1,477;1,437;1,514
2025-12-11;1,484;;1,437;1,517;1,477;1,487
2025-12-10;1,494;;1,457;1,517;1,477;1,487
2025-12-09;1,504;;1,457;1,517;1,487;1,487
2025-12-08;1,504;;1,457;1,527;1,497;1,497
2025-12-05;1,504;;1,457;1,497;1,447;1,537
2025-12-04;1,524;;1,457;1,527;1,497;1,497
2025-12-03;1,524;;1,457;1,527;1,507;1,507
2025-12-02;1,534;;1,457;1,537;1,517;1,517
2025-12-01;1,534;;1,477;1,537;1,537;1,537
2025-11-28;1,534;;1,477;1,537;1,477;1,574
2025-11-27;1,544;;1,477;1,537;1,527;1,527
2025-11-26;1,544;;1,477;1,557;1,527;1,537
2025-11-25;1,547;;1,477;1,557;1,527;1,537
2025-11-24;1,547;;1,477;1,557;1,557;1,537
2025-11-21;1,514;;1,477;1,557;1,497;1,537
2025-11-20;1,514;;1,477;1,557;1,517;1,537
2025-11-19;1,514;;1,477;1,537;1,497;1,497
2025-11-14;1,514;;1,477;1,507;1,447;1,504
2025-11-13;1,494;;1,477;1,507;1,497;1,504
2025-11-12;1,494;;1,457;1,497;1,477;1,507
2025-11-11;1,494;;1,457;1,497;1,477;1,487
2025-11-10;1,494;;1,457;1,527;1,517;1,487
2025-11-07;1,464;;1,457;1,507;1,447;1,464
2025-11-06;1,504;;1,457;1,507;1,487;1,487
2025-11-05;1,504;;1,457;1,507;1,487;1,487
